meal_name,diet_type,cost_inr,ingredients,num_ingredients,calories,prep_time,protein,fat,carbs,vegan,vegetarian,keto,paleo,gluten_free,mediterranean,is_healthy
Gluten-Free Pasta,Veg,141,"rice pasta, tomato sauce, garlic, olive oil, basil",0.2727272727272727,0.4909090909090909,0.84,0.7836791164816183,0.5979073292293274,0.4445718604904733,0,0,0,0,1,0,1
Grilled Salmon,Non-veg,454,"salmon fillet, lemon, asparagus, olive oil, herbs",0.9090909090909092,0.1581818181818181,0.7,0.1435880294901841,0.6520815495218811,0.0506091241647837,0,0,1,1,1,1,0
Lentil Soup,Veg,133,"lentils, carrots, celery, onion, vegetable broth, spices",0.4545454545454545,0.7,0.4,0.6206374920193753,0.6127475610288435,0.0006883689503828,0,1,0,0,0,0,0
Chickpea Stew,Veg,139,"chickpeas, spinach, tomatoes, coconut milk, curry powder",0.9090909090909092,0.1054545454545454,0.82,0.0468933633740663,0.9757605996296852,0.2290256532339217,1,1,0,0,0,0,0
Turkey Lettuce Wraps,Non-veg,215,"ground turkey, lettuce leaves, ginger, soy sauce, water chestnuts",0.1818181818181818,0.4418181818181818,0.04,0.8643402019700046,0.6815746035272576,0.4492927819101209,0,0,1,1,1,1,0
Cauliflower Rice Bowl,Veg,152,"cauliflower, bell peppers, broccoli, tofu, soy sauce",0.2727272727272727,0.5727272727272728,0.26,0.8125327277358156,0.3049359717360003,0.092350853570445,1,1,0,1,1,0,1
Almond Flour Pancakes,Veg,193,"almond flour, eggs, almond milk, maple syrup, baking powder",1.0,0.6654545454545454,0.12,0.6131142429244506,0.8348464853860428,0.1689261452742643,0,1,1,1,1,0,0
Chickpea Stew,Veg,145,"chickpeas, spinach, tomatoes, coconut milk, curry powder",0.2727272727272727,0.7036363636363636,0.02,0.4273252274059647,0.2080207370012977,0.5678606966659067,1,1,0,0,0,0,1
Cauliflower Rice Bowl,Veg,151,"cauliflower, bell peppers, broccoli, tofu, soy sauce",0.8181818181818182,0.2927272727272727,0.18,0.8994061154953945,0.5989597903725732,0.9261651007275952,1,1,0,1,1,0,0
Vegan Curry,Veg,180,"tofu, coconut milk, sweet potato, peas, curry paste",0.5454545454545454,0.4563636363636363,0.78,0.8488546083516119,0.7487557103648721,0.5395258601107095,1,1,0,0,0,0,0
Tofu Stir Fry,Veg,163,"tofu, broccoli, carrots, snap peas, soy sauce, sesame oil",0.7272727272727273,0.2836363636363636,0.28,0.1661030631325829,0.0152318369702057,0.421878987199708,1,1,0,0,0,0,0
Quinoa Salad,Veg,157,"quinoa, cucumber, cherry tomatoes, feta cheese, lemon dressing",1.0,0.8563636363636363,0.2,0.1998507701139256,0.7126870686240638,0.792930491158903,1,1,0,0,0,1,0
Mediterranean Wrap,Veg,135,"whole wheat wrap, hummus, cucumber, olives, feta cheese",0.8181818181818182,0.4181818181818181,0.8,0.9196417193314164,0.8517325129256483,0.448231975206608,0,0,0,0,0,1,0
Quinoa Salad,Veg,145,"quinoa, cucumber, cherry tomatoes, feta cheese, lemon dressing",0.5454545454545454,0.7381818181818182,0.46,0.6693268402944578,0.5923409948895683,0.2714653462741048,1,1,0,0,0,1,0
Keto Omelette,Veg,138,"eggs, spinach, mushrooms, cheddar cheese, avocado",0.0,0.8381818181818181,0.04,0.7646761773951315,0.5622449035627055,0.7734981161322768,0,0,1,0,1,0,0
