meal_name,diet_type,cost_inr,ingredients,num_ingredients,calories,prep_time,protein,fat,carbs,vegan,vegetarian,keto,paleo,gluten_free,mediterranean,is_healthy,recipe_steps
Gluten-Free Pasta,Veg,141,"rice pasta, tomato sauce, garlic, olive oil, basil",0.2727272727272727,0.4909090909090909,0.84,0.7836791164816183,0.5979073292293274,0.4445718604904733,0,0,0,0,1,0,1,"Cook rice pasta per package instructions until al dente. Sauté garlic in olive oil until golden, then stir in tomato sauce and simmer 5 minutes. Toss drained pasta with sauce, top with fresh basil, and serve."
Grilled Salmon,Non-veg,454,"salmon fillet, lemon, asparagus, olive oil, herbs",0.9090909090909092,0.1581818181818181,0.7,0.1435880294901841,0.6520815495218811,0.0506091241647837,0,0,1,1,1,1,0,"Season salmon fillet with lemon juice, salt, and herbs. Grill on medium-high heat for 4–5 minutes per side until cooked through. Serve alongside steamed asparagus drizzled with olive oil."
Lentil Soup,Veg,133,"lentils, carrots, celery, onion, vegetable broth, spices",0.4545454545454545,0.7,0.4,0.6206374920193753,0.6127475610288435,0.0006883689503828,0,1,0,0,0,0,0,"Sauté onion, carrots, and celery in a pot until softened. Add lentils, vegetable broth, and spices, then bring to a boil. Reduce heat and simmer for 25 minutes until lentils are tender."
Chickpea Stew,Veg,139,"chickpeas, spinach, tomatoes, coconut milk, curry powder",0.9090909090909092,0.1054545454545454,0.82,0.0468933633740663,0.9757605996296852,0.2290256532339217,1,1,0,0,0,0,0,"Heat oil and sauté onion until translucent. Add chickpeas, spinach, tomatoes, and coconut milk, then stir in curry powder. Simmer on low heat for 15 minutes until the stew thickens."
Turkey Lettuce Wraps,Non-veg,215,"ground turkey, lettuce leaves, ginger, soy sauce, water chestnuts",0.1818181818181818,0.4418181818181818,0.04,0.8643402019700046,0.6815746035272576,0.4492927819101209,0,0,1,1,1,1,0,Brown ground turkey in a skillet with ginger and soy sauce until cooked through. Stir in water chestnuts and cook for 2 more minutes. Spoon the mixture into lettuce leaves and serve immediately.
Cauliflower Rice Bowl,Veg,152,"cauliflower, bell peppers, broccoli, tofu, soy sauce",0.2727272727272727,0.5727272727272728,0.26,0.8125327277358156,0.3049359717360003,0.092350853570445,1,1,0,1,1,0,1,"Pulse cauliflower florets in a food processor until rice-sized. Stir-fry in a hot pan with oil for 5–6 minutes. Top with your choice of protein, vegetables, and sauce, then serve warm."
Almond Flour Pancakes,Veg,193,"almond flour, eggs, almond milk, maple syrup, baking powder",1.0,0.6654545454545454,0.12,0.6131142429244506,0.8348464853860428,0.1689261452742643,0,1,1,1,1,0,0,"Mix almond flour, eggs, and a pinch of salt into a smooth batter. Cook spoonfuls on a lightly greased non-stick pan over medium heat for 2–3 minutes per side. Serve with fresh fruit or honey."
Vegan Curry,Veg,180,"tofu, coconut milk, sweet potato, peas, curry paste",0.5454545454545454,0.4563636363636363,0.78,0.8488546083516119,0.7487557103648721,0.5395258601107095,1,1,0,0,0,0,0,"Sauté onions and garlic in oil until soft, then add curry paste and cook for 1 minute. Add vegetables, coconut milk, and simmer for 20 minutes. Serve over steamed rice with fresh coriander."
Tofu Stir Fry,Veg,163,"tofu, broccoli, carrots, snap peas, soy sauce, sesame oil",0.7272727272727273,0.2836363636363636,0.28,0.1661030631325829,0.0152318369702057,0.421878987199708,1,1,0,0,0,0,0,"Press and cube tofu, then pan-fry until golden on all sides. Add vegetables and stir-fry on high heat for 4–5 minutes. Toss with soy sauce and sesame oil, then serve over rice."
Quinoa Salad,Veg,157,"quinoa, cucumber, cherry tomatoes, feta cheese, lemon dressing",1.0,0.8563636363636363,0.2,0.1998507701139256,0.7126870686240638,0.792930491158903,1,1,0,0,0,1,0,"Rinse and cook quinoa in water for 15 minutes, then let cool. Toss with chopped vegetables, fresh herbs, lemon juice, and olive oil. Season with salt and pepper and serve at room temperature."
